Authors,Title,Year,Sampling Methodology,Sample analysis,Size (µm),Results (avg),Uncertainty,Units,Latitude (°N),Longitude (°E)
Wei Y.; Yu Y.; Cao X.; Wang B.; Yu D.; Wang J.; Liu Z.,Remote Mountainous Area Inevitably Becomes Temporal Sink for Microplastics Driven by Atmospheric Transport,2024,Sampling,Microscopy; µRaman,<100,1.7,1,particles m-3,34.143,107.936
Adhikari K.; Pearce C.I.; Sanguinet K.A.; Bary A.I.; Chowdhury I.; Eggleston I.; Xing B.; Flury M.,Accumulation of microplastics in soil after long-term application of biosolids and atmospheric deposition,2024,Deposition,Microscopy; µFTIR,>11,9,,particles m-2 d-1,47.9167,240.2
Wang K.; Liu Y.; Shi X.; Zhao S.; Sun B.; Lu J.; Li W.,Characterization and traceability analysis of dry deposition of atmospheric microplastics (MPs) in Wuliangsuhai Lake,2024,Deposition,Microscopy; µRaman,>50,2065,789,particles m-2 d-1,40.9506,108.9622
Wang K.; Liu Y.; Shi X.; Zhao S.; Sun B.; Lu J.; Li W.,Characterization and traceability analysis of dry deposition of atmospheric microplastics (MPs) in Wuliangsuhai Lake,2024,Deposition,Microscopy; µRaman,>50,3073,1354,particles m-2 d-1,41.1341,108.8639
Wang K.; Liu Y.; Shi X.; Zhao S.; Sun B.; Lu J.; Li W.,Characterization and traceability analysis of dry deposition of atmospheric microplastics (MPs) in Wuliangsuhai Lake,2024,Deposition,Microscopy; µRaman,>50,4468,1986,particles m-2 d-1,41.0363,108.8301
Wang K.; Liu Y.; Shi X.; Zhao S.; Sun B.; Lu J.; Li W.,Characterization and traceability analysis of dry deposition of atmospheric microplastics (MPs) in Wuliangsuhai Lake,2024,Deposition,Microscopy; µRaman,>50,2829,1243,particles m-2 d-1,40.9748,108.9173
Wang K.; Liu Y.; Shi X.; Zhao S.; Sun B.; Lu J.; Li W.,Characterization and traceability analysis of dry deposition of atmospheric microplastics (MPs) in Wuliangsuhai Lake,2024,Deposition,Microscopy; µRaman,>50,3909,1526,particles m-2 d-1,40.7759,108.7081
Wang K.; Liu Y.; Shi X.; Zhao S.; Sun B.; Lu J.; Li W.,Characterization and traceability analysis of dry deposition of atmospheric microplastics (MPs) in Wuliangsuhai Lake,2024,Deposition,Microscopy; µRaman,>50,3885,1643,particles m-2 d-1,40.8219,108.7819
Kernchen S.; Schmalz H.; Löder M.G.J.; Georgi C.; Einhorn A.; Greiner A.; Nölscher A.C.; Laforsch C.; Held A.,Atmospheric deposition studies of microplastics in Central Germany,2024,Deposition,Microscopy; µRaman,<10,207,,particles m-2 d-1,51.3248,9.5247
Kernchen S.; Schmalz H.; Löder M.G.J.; Georgi C.; Einhorn A.; Greiner A.; Nölscher A.C.; Laforsch C.; Held A.,Atmospheric deposition studies of microplastics in Central Germany,2024,Deposition,Microscopy; µFTIR,>11,17,14,particles m-2 d-1,51.3248,9.5247
Mandal M.; Roy A.; Singh P.; Sarkar A.,Quantification and characterization of airborne microplastics and their possible hazards: a case study from an urban sprawl in eastern India,2024,Depositon,Microscopy; Nile Red; µFTIR,>50,122.25,76.96,particles m-2 d-1,24.8602,88.0192
Mandal M.; Roy A.; Singh P.; Sarkar A.,Quantification and characterization of airborne microplastics and their possible hazards: a case study from an urban sprawl in eastern India,2024,Depositon,Microscopy; Nile Red; µFTIR,>50,387.67,89.23,particles m-2 d-1,24.9091,88.087
Mandal M.; Roy A.; Singh P.; Sarkar A.,Quantification and characterization of airborne microplastics and their possible hazards: a case study from an urban sprawl in eastern India,2024,Depositon,Microscopy; Nile Red; µFTIR,>50,251.86,108.99,particles m-2 d-1,25.0107,88.1412
Lu L.; Zhang R.; Wang K.; Tian J.; Wu Q.; Xu L.,"Occurrence, influencing factors and sources of atmospheric microplastics in peri-urban farmland ecosystems of Beijing, China",2024,Deposition,Microscopy; µFTIR,>11,347.2,75.06,particles m-2 d-1,39.677,116.441
Lu L.; Zhang R.; Wang K.; Tian J.; Wu Q.; Xu L.,"Occurrence, influencing factors and sources of atmospheric microplastics in peri-urban farmland ecosystems of Beijing, China",2024,Deposition,Microscopy; µFTIR,>11,167.25,71.55,particles m-2 d-1,39.942,116.277
Lu L.; Zhang R.; Wang K.; Tian J.; Wu Q.; Xu L.,"Occurrence, influencing factors and sources of atmospheric microplastics in peri-urban farmland ecosystems of Beijing, China",2024,Deposition,Microscopy; µFTIR,>11,144.31,52.02,particles m-2 d-1,40.191,116.81
Lu L.; Zhang R.; Wang K.; Tian J.; Wu Q.; Xu L.,"Occurrence, influencing factors and sources of atmospheric microplastics in peri-urban farmland ecosystems of Beijing, China",2024,Deposition,Microscopy; µFTIR,>11,139.87,47.38,particles m-2 d-1,39.699,116.695
Lu L.; Zhang R.; Wang K.; Tian J.; Wu Q.; Xu L.,"Occurrence, influencing factors and sources of atmospheric microplastics in peri-urban farmland ecosystems of Beijing, China",2024,Deposition,Microscopy; µFTIR,>11,110.84,61.39,particles m-2 d-1,39.655,116.032
Lu L.; Zhang R.; Wang K.; Tian J.; Wu Q.; Xu L.,"Occurrence, influencing factors and sources of atmospheric microplastics in peri-urban farmland ecosystems of Beijing, China",2024,Deposition,Microscopy; µFTIR,>11,93.05,65.54,particles m-2 d-1,39.972,116.02
Jiang K.; Zhu J.; Su K.; Wang X.; Li G.; Deng M.; Zhang C.,Tracing the Transport and Residence Times of Atmospheric Microplastics Using Natural Radionuclides,2024,Sampling,Microscopy; µFTIR; SEM,>11,0.072028,0.02737,particles m-3,39.1667,117.2631
Abbasi S.; Ahmadi F.; Khodabakhshloo N.; Pourmahmood H.; Esfandiari A.; Mokhtarzadeh Z.; Rahnama S.; Dehbandi R.; Vazirzadeh A.; Turner A.,"Atmospheric deposition of microplastics in Shiraz, Iran",2024,Deposition,Microscopy; µRaman,>30,19.694,29.417,particles m-2 d-1,29.592,52.583
Abbasi S.; Ahmadi F.; Khodabakhshloo N.; Pourmahmood H.; Esfandiari A.; Mokhtarzadeh Z.; Rahnama S.; Dehbandi R.; Vazirzadeh A.; Turner A.,"Atmospheric deposition of microplastics in Shiraz, Iran",2024,Deposition,Microscopy; µRaman,>30,10,14.0559,particles m-2 d-1,29.592,52.583
Abbasi S.; Ahmadi F.; Khodabakhshloo N.; Pourmahmood H.; Esfandiari A.; Mokhtarzadeh Z.; Rahnama S.; Dehbandi R.; Vazirzadeh A.; Turner A.,"Atmospheric deposition of microplastics in Shiraz, Iran",2024,Deposition,Microscopy; µRaman,>30,10.333,13.6728,particles m-2 d-1,29.592,52.583
Abbasi S.; Ahmadi F.; Khodabakhshloo N.; Pourmahmood H.; Esfandiari A.; Mokhtarzadeh Z.; Rahnama S.; Dehbandi R.; Vazirzadeh A.; Turner A.,"Atmospheric deposition of microplastics in Shiraz, Iran",2024,Deposition,Microscopy; µRaman,>30,18.686,24.74776,particles m-2 d-1,29.592,52.583
Abbasi S.; Ahmadi F.; Khodabakhshloo N.; Pourmahmood H.; Esfandiari A.; Mokhtarzadeh Z.; Rahnama S.; Dehbandi R.; Vazirzadeh A.; Turner A.,"Atmospheric deposition of microplastics in Shiraz, Iran",2024,Deposition,Microscopy; µRaman,>30,8.9739,11.4061,particles m-2 d-1,29.592,52.583
Abbasi S.; Ahmadi F.; Khodabakhshloo N.; Pourmahmood H.; Esfandiari A.; Mokhtarzadeh Z.; Rahnama S.; Dehbandi R.; Vazirzadeh A.; Turner A.,"Atmospheric deposition of microplastics in Shiraz, Iran",2024,Deposition,Microscopy; µRaman,>30,13.51,22.38,particles m-2 d-1,29.592,52.583
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,5.83,5.57,particles per 100 m-3,35.0469,122.9556
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,6.28,4.98,particles per 100 m-3,36.797,123.1791
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,9.25,4.98,particles per 100 m-3,38.41,122.9601
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,7.42,0.83,particles per 100 m-3,38.6786,119.3811
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,4.55,1.4,particles per 100 m-3,35.0469,122.9556
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,2.9,0.3,particles per 100 m-3,36.797,123.1791
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,5.73,"3,97",particles per 100 m-3,38.41,122.9601
Liu Z.; Liang T.; Liu X.,"Characteristics, distribution patterns and sources of atmospheric microplastics in the Bohai and Yellow Seas, China",2024,Sampling,Microscopy; LDIR,>30,8.99,4.56,particles per 100 m-3,38.6786,119.3811
Ferraz G.M.; de Moraes A.D.S.; dos Santos G.B.; de Miranda I.T.; Zucolotto V.; Urban R.C.,Atmospheric microplastics deposition assessment in a countryside municipality in Southeastern Brazil: A case study at a state elementary school,2024,Deposition,µRaman,>25,58.87,43.33,particles m-2 d-1,-22.0133,312.1097
Jiang J.; Ren H.; Wang X.; Liu B.,"Pollution characteristics and potential health effects of airborne microplastics and culturable microorganisms during urban haze in Harbin, China",2024,Sampling,Microscopy; µRaman,>6.8,162.6,44.6,particles m-3,45.755,126.6394
Jiang J.; Ren H.; Wang X.; Liu B.,"Pollution characteristics and potential health effects of airborne microplastics and culturable microorganisms during urban haze in Harbin, China",2024,Sampling,Microscopy; µRaman,>6.8,63.2,21.8,particles m-3,45.7539,126.6817
Jiang J.; Ren H.; Wang X.; Liu B.,"Pollution characteristics and potential health effects of airborne microplastics and culturable microorganisms during urban haze in Harbin, China",2024,Sampling,Microscopy; µRaman,>6.8,12.8,5.5,particles m-3,45.7006,126.672
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,349.6,,particles m-2 d-1,34.27427,108.9657
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,281.4,,particles m-2 d-1,34.35042,108.9855
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,236.9,,particles m-2 d-1,34.19314,108.88781
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,231.1,,particles m-2 d-1,34.48962,109.522
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,258.6,,particles m-2 d-1,34.34968,108.7328
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,224.5,,particles m-2 d-1,34.34562,107.2335
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,142.2,,particles m-2 d-1,33.06836,107.0443
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,189.7,,particles m-2 d-1,38.26857,109.7675
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,130.2,,particles m-2 d-1,32.68421,109.0417
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,161.4,,particles m-2 d-1,33.86029,109.9578
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,162.3,,particles m-2 d-1,36.61996,109.4631
Wang X.; Ouyang Z.; He Y.; Ding L.; Liang X.; Guo X.,"An important source of terrestrial microplastics-atmospheric deposition: A microplastics survey based on Shaanxi, China",2024,Deposition,Microscopy; µFTIR,>11,97.6,,particles m-2 d-1,34.90982,108.9895
Xu S.; Cui B.; Zhang W.; Liu R.; Liu H.; Zhu X.; Huang X.; Liu M.,Microplastics in the atmospheric of the eastern coast of China: different function areas reflecting various sources and transport,2024,Sampling,LDIR,>10,3.74,2.86,particles m-3,26.0523,119.2925
Xu S.; Cui B.; Zhang W.; Liu R.; Liu H.; Zhu X.; Huang X.; Liu M.,Microplastics in the atmospheric of the eastern coast of China: different function areas reflecting various sources and transport,2024,Sampling,LDIR,>10,2.67,1.68,particles m-3,26.03,119.6265
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,315.225,226.4265646,particles m-2 d-1,30.905562,114.360851
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,372.75,264.2033623,particles m-2 d-1,30.457544,114.617104
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,286.375,182.536469,particles m-2 d-1,30.798448,114.699912
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,384.25,279.160796,particles m-2 d-1,30.251142,114.321211
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,286.25,184.4001537,particles m-2 d-1,30.531944,114.024444
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,360.25,230.535066,particles m-2 d-1,30.419515,113.925076
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,378.625,308.0187697,particles m-2 d-1,30.378611,114.329722
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,275.0125,160.8072364,particles m-2 d-1,30.704151,114.085182
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,345.95,236.7672627,particles m-2 d-1,30.585018,114.253937
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,353.95,270.7437349,particles m-2 d-1,30.625278,114.363611
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,338.875,243.4390324,particles m-2 d-1,30.525556,114.392778
Zhu J.; Xu A.; Shi M.; Su Y.; Liu W.; Zhang Y.; She Z.; Xing X.; Qi S.,Atmospheric deposition is an important pathway for inputting microplastics: Insight into the spatiotemporal distribution and deposition flux in a mega city,2024,Deposition,Microscopy; µRaman,>2,321.75,193.0830996,particles m-2 d-1,30.554851,114.204954
Jung C.-C.; Chao Y.-C.; Hsu H.-T.; Gong D.-W.,Spatial and seasonal variations of atmospheric microplastics in high and low population density areas at the intersection of tropical and subtropical regions,2024,Sampling,Microscopy; µRaman,>3,2.2,2.97,particles m-3,24.303306,120.710389
Jung C.-C.; Chao Y.-C.; Hsu H.-T.; Gong D.-W.,Spatial and seasonal variations of atmospheric microplastics in high and low population density areas at the intersection of tropical and subtropical regions,2024,Sampling,Microscopy; µRaman,>3,1.92,2.35,particles m-3,24.32,120.75
Dahal Y.; Babel S.,"Abundance and characteristics of atmospheric microplastics deposition in indoor and outdoor environments in Bangkok, Thailand",2024,Deposition,Microscopy; Nile Red; µFTIR,>53,103,52,particles m-2 d-1,13.746056,100.53075
Dahal Y.; Babel S.,"Abundance and characteristics of atmospheric microplastics deposition in indoor and outdoor environments in Bangkok, Thailand",2024,Deposition,Microscopy; Nile Red; µFTIR,>53,238,109,particles m-2 d-1,13.991194,100.646861
Dahal Y.; Babel S.,"Abundance and characteristics of atmospheric microplastics deposition in indoor and outdoor environments in Bangkok, Thailand",2024,Deposition,Microscopy; Nile Red; µFTIR,>53,263,128,particles m-2 d-1,13.982389,100.536944
Winijkul E.; Latt K.Z.; Limsiriwong K.; Pussayanavin T.; Prapaspongsa T.,"Depositions of airborne microplastics during the wet and dry seasons in Pathum Thani, Thailand",2024,Deposition,Microscopy; µFTIR,>44,325,,particles m-2 d-1,14.08,100.61
Jia B.; Zhu K.; Bai Z.; Abudula A.; Liu B.; Yan J.; Wu Z.; Tan H.; Liu Q.; Morawska L.; Wang L.; Chen J.,"Non targeted and targeted LC-MS/MS insights into the composition and concentration of atmospheric microplastics and additives: Impacts and regional changes of sandstorms in Shanghai and Hohhot, China",2024,Sampling,LC-MS/MS,<2.5,3531.59,,ng m-3,40.81,111.68
Jia B.; Zhu K.; Bai Z.; Abudula A.; Liu B.; Yan J.; Wu Z.; Tan H.; Liu Q.; Morawska L.; Wang L.; Chen J.,"Non targeted and targeted LC-MS/MS insights into the composition and concentration of atmospheric microplastics and additives: Impacts and regional changes of sandstorms in Shanghai and Hohhot, China",2024,Sampling,LC-MS/MS,<2.5,589.85,,ng m-3,31.3,121.5
Liu P.; Shao L.; Zhang Y.; Silvonen V.; Oswin H.; Cao Y.; Guo Z.; Ma X.; Morawska L.,"Comparative study on physicochemical characteristics of atmospheric microplastics in winter in inland and coastal megacities: A case of Beijing and Shanghai, China",2024,Sampling,LDIR; SEM-EDX,>20,3,,particles m-3,40,116.4
Liu P.; Shao L.; Zhang Y.; Silvonen V.; Oswin H.; Cao Y.; Guo Z.; Ma X.; Morawska L.,"Comparative study on physicochemical characteristics of atmospheric microplastics in winter in inland and coastal megacities: A case of Beijing and Shanghai, China",2024,Sampling,LDIR; SEM-EDX,>20,1.7,,particles m-3,31.2,121.3
Patnana D.P.; Chandra B.P.,Determination of mass concentrations of airborne PET microplastics using liquid chromatography coupled to tandem mass spectrometry (LC-MS/MS),2024,Sampling,LC-MS/MS,<2.5,135.2,,ng m-3,28.59,77.22
Patnana D.P.; Chandra B.P.,Determination of mass concentrations of airborne PET microplastics using liquid chromatography coupled to tandem mass spectrometry (LC-MS/MS),2024,Sampling,LC-MS/MS,<2.5,157.98,,ng m-3,30.66,76.73
Chen Y.; Meng Y.; Liu G.; Huang X.; Chai G.; Xie Y.,Atmospheric deposition of microplastics at a western China metropolis: Relationship with underlying surface types and human exposure,2024,Deposition,Microscopy; µFTIR,>10,364,98.6,particles m-2 d-1,30.632,104.0809
Chen Y.; Meng Y.; Liu G.; Huang X.; Chai G.; Xie Y.,Atmospheric deposition of microplastics at a western China metropolis: Relationship with underlying surface types and human exposure,2024,Deposition,Microscopy; µFTIR,>10,266.2,79.6,particles m-2 d-1,30.5622,103.9967
Chen Y.; Meng Y.; Liu G.; Huang X.; Chai G.; Xie Y.,Atmospheric deposition of microplastics at a western China metropolis: Relationship with underlying surface types and human exposure,2024,Deposition,Microscopy; µFTIR,>10,207.1,48.2,particles m-2 d-1,30.7075,103.8598
Chen Y.; Meng Y.; Liu G.; Huang X.; Chai G.; Xie Y.,Atmospheric deposition of microplastics at a western China metropolis: Relationship with underlying surface types and human exposure,2024,Deposition,Microscopy; µFTIR,>10,254.7,38.8,particles m-2 d-1,30.781,103.9529
Chen Y.; Meng Y.; Liu G.; Huang X.; Chai G.; Xie Y.,Atmospheric deposition of microplastics at a western China metropolis: Relationship with underlying surface types and human exposure,2024,Deposition,Microscopy; µFTIR,>10,208.1,72.9,particles m-2 d-1,30.9076,104.4263
Rao W.; Fan Y.; Li H.; Qian X.; Liu T.,New insights into the long-term dynamics and deposition-suspension distribution of atmospheric microplastics in an urban area,2024,Sampling,Microscopy; µFTIR,>20,1.31,0.62,particles m-3,32.12,118.96
Rao W.; Fan Y.; Li H.; Qian X.; Liu T.,New insights into the long-term dynamics and deposition-suspension distribution of atmospheric microplastics in an urban area,2024,Deposition,Microscopy; µFTIR,>20,302.31,107.4,particles m-2 d-1,32.12,118.96
Aves A.; Ruffell H.; Evangeliou N.; Gaw S.; Revell L.E.,Modelled sources of airborne microplastics collected at a remote Southern Hemisphere site,2024,Deposition,Microscopy; µFTIR,>52,150,25,particles m-2 d-1,-43.9853,170.4641
Aves A.; Ruffell H.; Evangeliou N.; Gaw S.; Revell L.E.,Modelled sources of airborne microplastics collected at a remote Southern Hemisphere site,2024,Deposition,Microscopy; µFTIR,>52,26,8,particles m-2 d-1,-43.9853,170.4641
Guo Z.; Chen J.; Yu H.; Zhang Q.; Duo B.; Cui X.,"Characteristics, sources and potential ecological risk of atmospheric microplastics in Lhasa city",2024,Sampling,LDIR,>20,7.15,2.46,particles m-3,29.6456,91.1813
Mokammel A.; Naddafi K.; Hassanvand M.S.; Nabizadeh R.; Faridi S.; Noruzzade E.; Yaghmaeian K.,"Airborne microplastics pollution in municipal solid waste processing and disposal complex: Concentration, characterization, and composition",2025,Sampling,Microscopy; µRaman,>5,6.54,5.08,particles m-3,35.4603,51.333
Liu P.; Shao L.; Guo Z.; Zhang Y.; Cao Y.; Ma X.; Morawska L.,"Physicochemical characteristics of airborne microplastics of a typical coastal city in the Yangtze River Delta Region, China",2025,Sampling,Microscopy; LDIR,>20,23.8,,particles m-3,33.99,119.84
Luo X.; Zhang Y.; Kang S.; Chen R.; Gao T.; Allen S.,Atmospheric emissions of microplastics entrained with dust from potential source regions,2025,Sampling,LDIR,<100,4.07,2.37,particles m-3,38.27,99.89
Jung C.-C.; Chen K.-Y.,Assessing the impact of marine litter hotspot on atmospheric microplastics: A study of a coastal village,2025,Sampling,Microscopy; µRaman,>3,1.35,1.33,particles m-3,24.0841,120.5526
Nafea T.H.; Shun Chan F.K.; Xu Y.; Xiao H.; He J.,"Unveiling the seasonal transport and exposure risks of atmospheric microplastics in the southern area of the Yangtze River Delta, China",2025,Sampling,Microscopy; ATR-FTIR,>20,0.145,0.09,particles m-3,29.8,121.56
Nafea T.H.; Shun Chan F.K.; Xu Y.; Xiao H.; He J.,"Unveiling the seasonal transport and exposure risks of atmospheric microplastics in the southern area of the Yangtze River Delta, China",2025,Sampling,Microscopy; ATR-FTIR,>20,0.145,0.09,particles m-3,29.75,121.89
