Authors,Title,Year,Sampling Methodology,Sample analysis,Size (µm),Results (avg),Uncertainty,Units,Latitude (°N),Longitude (°E)
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0,,per 100 m-3,22,113.1
Wang X.; Liu K.; Zhu L.; Li C.; Song Z.; Li D.,Efficient transport of atmospheric microplastics onto the continent via the East Asian summer monsoon,2021,Sampling,Microscopy; µFTIR,> 11,0.27,,per 100 m-3,22.5,114.8
Knobloch E.; Ruffell H.; Aves A.; Pantos O.; Gaw S.; Revell L.E.,"Comparison of Deposition Sampling Methods to Collect Airborne Microplastics in Christchurch, New Zealand",2021,Deposition,Microscopy; µFTIR,> 11,205,125,particles m-2 d-1,43.52,172.58
Jia Q.; Duan Y.; Han X.; Sun X.; Munyaneza J.; Ma J.; Xiu G.,"Atmospheric deposition of microplastics in the megalopolis (Shanghai) during rainy season: Characteristics, influence factors, and source",2022,Deposition,Microscopy; µFTIR,> 11,3261.22,2847.99,particles m-2 d-1,31.2167,121.4667
Ding J.; Sun C.; He C.; Zheng L.; Dai D.; Li F.,"Atmospheric microplastics in the Northwestern Pacific Ocean: Distribution, source, and deposition",2022,Sampling,Microscopy; µFTIR,> 11,0.027,0.018,particles m-3,29,128
Amato-Lourenço L.F.; de Souza Xavier Costa N.; Dantas K.C.; dos Santos Galvão L.; Moralles F.N.; Lombardi S.C.F.S.; Júnior A.M.; Lindoso J.A.L.; Ando R.A.; Lima F.G.; Carvalho-Oliveira R.; Mauad T.,Airborne microplastics and SARS-CoV-2 in total suspended particles in the area surrounding the largest medical centre in Latin America,2022,Sampling,Nile Red; µFTIR,> 11,14.65,,particles m-3,-23.5544,313.3295
Syafina P.R.; Yudison A.P.; Sembiring E.; Irsyad M.; Tomo H.S.,"Identification of fibrous suspended atmospheric microplastics in Bandung Metropolitan Area, Indonesia",2022,Sampling,Microscopy; Hot needle test,,0.445,,particles m-3,-6.9239,107.6064
Sun J.; Peng Z.; Zhu Z.-R.; Fu W.; Dai X.; Ni B.-J.,The atmospheric microplastics deposition contributes to microplastic pollution in urban waters,2022,Deposition,µRaman,> 2,1650,1200,particles m-2 d-1,31.2167,121.4667
Purwiyanto A.I.S.; Prartono T.; Riani E.; Naulita Y.; Cordova M.R.; Koropitan A.F.,The deposition of atmospheric microplastics in Jakarta-Indonesia: The coastal urban area,2022,Deposition,Microscopy; µFTIR,> 11,15,,particles m-2 d-1,-6.1944,106.8229
Welsh B.; Aherne J.; Paterson A.M.; Yao H.; McConnell C.,"Atmospheric deposition of anthropogenic particles and microplastics in south-central Ontario, Canada",2022,Deposition,Microscopy; µRaman,> 2,7,2,particles m-2 d-1,45,280
Fan W.; Salmond J.A.; Dirks K.N.; Cabedo Sanz P.; Miskelly G.M.; Rindelaub J.D.,Evidence and Mass Quantification of Atmospheric Microplastics in a Coastal New Zealand City,2022,Deposition,Nile Red; Py-GC-MS,,4885,1858,particles m-2 d-1,-36.87,174.7
Liu Z.; Huang Q.; Chen L.; Li J.; Jia H.,"Is the impact of atmospheric microplastics on human health underestimated? Uncertainty in risk assessment: A case study of urban atmosphere in Xi'an, Northwest China",2022,Sampling,Microscopy; µRaman,> 2,12.5,,L-1,34,109
Jenner L.C.; Sadofsky L.R.; Danopoulos E.; Chapman E.; White D.; Jenkins R.L.; Rotchell J.M.,Outdoor Atmospheric Microplastics within the Humber Region (United Kingdom): Quantification and Chemical Characterisation of Deposited Particles Present,2022,Deposition,µFTIR,> 11,3055,5072,particles m-2 d-1,53.7675,359.68
Jenner L.C.; Sadofsky L.R.; Danopoulos E.; Chapman E.; White D.; Jenkins R.L.; Rotchell J.M.,Outdoor Atmospheric Microplastics within the Humber Region (United Kingdom): Quantification and Chemical Characterisation of Deposited Particles Present,2022,Deposition,µFTIR,> 11,1500,1272,particles m-2 d-1,53.7675,359.68
Wang Z.; Zhang Y.; Kang S.; Yang L.; Luo X.; Chen P.; Guo J.; Hu Z.; Yang C.; Yang Z.; Gao T.,Long-range transport of atmospheric microplastics deposited onto glacier in southeast Tibetan Plateau,2022,Deposition,Microscopy; µRaman,> 2,9.55,0.9,L-1,29.35,91.01
Shahraki M.; Rezaei Kahkha M.R.; Piri J.; Sharafi A.; Kaykhaii M.,Microplastics in atmospheric dust samples of Sistan: sources and distribution,2022,Deposition,Microscopy; µFTIR,500-5000,9.8,,per 100 g,27.5,60.5
Shruti V.C.; Kutralam-Muniasamy G.; Pérez-Guevara F.; Roy P.D.; Martínez I.E.,Occurrence and characteristics of atmospheric microplastics in Mexico City,2022,Sampling,Microscopy; µFTIR; ATR,> 10,0.205,0.061,particles m-3,19.43,260.87
Shruti V.C.; Kutralam-Muniasamy G.; Pérez-Guevara F.; Roy P.D.; Martínez I.E.,Occurrence and characteristics of atmospheric microplastics in Mexico City,2022,Sampling,Microscopy; µFTIR; ATR,> 2.5,0.11,0.055,particles m-3,19.43,260.87
Perera K.; Ziajahromi S.; Bengtson Nash S.; Manage P.M.; Leusch F.D.L.,"Airborne Microplastics in Indoor and Outdoor Environments of a Developing Country in South Asia: Abundance, Distribution, Morphology, and Possible Sources",2022,Sampling,Microscopy; µFTIR,> 11,0.11,0.11,particles m-3,7,80
Hu T.; He P.; Yang Z.; Wang W.; Zhang H.; Shao L.; Lü F.,Emission of airborne microplastics from municipal solid waste transfer stations in downtown,2022,Sampling,Microscopy; µFTIR,> 50,2.5,1.3,particles m-3,31.2167,121.4667
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,12,129
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,12,131
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.833,,particles per 100 m-3,12,130
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,15,130
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.521,,particles per 100 m-3,18,130
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,20,128
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.926,,particles per 100 m-3,15,129
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0,,particles per 100 m-3,10,130
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,11,141
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,2,143
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0,,particles per 100 m-3,0,143
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0,,particles per 100 m-3,-2,164
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,0,164
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.347,,particles per 100 m-3,4,164
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,5,160
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,4,151
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,2.667,,particles per 100 m-3,3,147
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.463,,particles per 100 m-3,2,141
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.347,,particles per 100 m-3,4,142
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,5,140
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,8,158
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,3,142
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0,,particles per 100 m-3,7,142
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.736,,particles per 100 m-3,10,142
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,2.778,,particles per 100 m-3,7,140
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.513,,particles per 100 m-3,21,142
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.256,,particles per 100 m-3,15,141
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.926,,particles per 100 m-3,13,141
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0,,particles per 100 m-3,5,142
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0,,particles per 100 m-3,11,138
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,1.389,,particles per 100 m-3,22,127
Wang X.; Wei N.; Liu K.; Zhu L.; Li C.; Zong C.; Li D.,Exponential decrease of airborne microplastics: From megacity to open ocean,2022,Sampling,Microscopy; µFTIR,> 11,0.694,,particles per 100 m-3,34,123
Li C.; Wang X.; Zhu L.; Liu K.; Zong C.; Wei N.; Li D.,Enhanced impacts evaluation of Typhoon Sinlaku (2020) on atmospheric microplastics in South China Sea during the East Asian Summer Monsoon,2022,Sampling,Microscopy; µFTIR,> 11,1.05,0.55,particles per 100 m-3,17,114
Li C.; Wang X.; Zhu L.; Liu K.; Zong C.; Wei N.; Li D.,Enhanced impacts evaluation of Typhoon Sinlaku (2020) on atmospheric microplastics in South China Sea during the East Asian Summer Monsoon,2022,Sampling,Microscopy; µFTIR,> 11,0.59,0.48,particles per 100 m-3,17,114
Huang X.; Chen Y.; Meng Y.; Liu G.; Yang M.,Are we ignoring the role of urban forests in intercepting atmospheric microplastics?,2022,Deposition,Microscopy; µFTIR,> 11,246,145,particles m-2 d-1,30.63,104.08
Huang X.; Chen Y.; Meng Y.; Liu G.; Yang M.,Are we ignoring the role of urban forests in intercepting atmospheric microplastics?,2022,Deposition,Microscopy; µFTIR,> 11,207,226,particles m-2 d-1,30.63,104.08
Ferrero L.; Scibetta L.; Markuszewski P.; Mazurkiewicz M.; Drozdowska V.; Makuch P.; Jutrzenka-Trzebiatowska P.; Zaleska-Medynska A.; Andò S.; Saliu F.; Nilsson E.D.; Bolzacchini E.,Airborne and marine microplastics from an oceanographic survey at the Baltic Sea: An emerging role of air-sea interaction?,2022,Sampling,Microscopy; µRaman,> 2,160.3333333,,particles m-3,54.38,18.67
Ferrero L.; Scibetta L.; Markuszewski P.; Mazurkiewicz M.; Drozdowska V.; Makuch P.; Jutrzenka-Trzebiatowska P.; Zaleska-Medynska A.; Andò S.; Saliu F.; Nilsson E.D.; Bolzacchini E.,Airborne and marine microplastics from an oceanographic survey at the Baltic Sea: An emerging role of air-sea interaction?,2022,Sampling,Microscopy; µRaman,> 2,41.5,,particles m-3,54.74,18.67
Ferrero L.; Scibetta L.; Markuszewski P.; Mazurkiewicz M.; Drozdowska V.; Makuch P.; Jutrzenka-Trzebiatowska P.; Zaleska-Medynska A.; Andò S.; Saliu F.; Nilsson E.D.; Bolzacchini E.,Airborne and marine microplastics from an oceanographic survey at the Baltic Sea: An emerging role of air-sea interaction?,2022,Sampling,Microscopy; µRaman,> 2,16.8,,particles m-3,56,19
Ferrero L.; Scibetta L.; Markuszewski P.; Mazurkiewicz M.; Drozdowska V.; Makuch P.; Jutrzenka-Trzebiatowska P.; Zaleska-Medynska A.; Andò S.; Saliu F.; Nilsson E.D.; Bolzacchini E.,Airborne and marine microplastics from an oceanographic survey at the Baltic Sea: An emerging role of air-sea interaction?,2022,Sampling,Microscopy; µRaman,> 2,48.75,,particles m-3,57.4,18.49
Klein M.; Bechtel B.; Brecht T.; Fischer E.K.,Spatial distribution of atmospheric microplastics in bulk-deposition of urban and rural environments – A one-year follow-up study in northern Germany,2023,Deposition,Nile Red;  µRaman,> 2,89,,particles m-2 d-1,53.55,9.99
